Protein1,Protein2,Class
O15068,Q8IWX7,0
O15072,Q9HBM0,0
O15075,P41567,0
O15079,P15976,0
O15079,P82094,0
O15079,Q92604,0
O15084,P00505,0
O15084,Q9BVI0,0
O15085,Q9P1Y5,0
O15091,Q8IYA6,0
O15105,Q9H7J1,0
O15111,Q2M3W8,0
O15116,P02511,0
O15118,Q92928,0
O15119,O43772,0
O15119,P30304,0
O15119,Q5TAX3,0
O15119,Q9NRR2,0
O15120,Q8NHH1,0
O15121,Q9NRX2,0
O15126,Q9BWH6,0
O15127,Q9P2B2,0
O15143,O60931,0
O15156,P17931,0
O15160,O75995,0
O15160,Q9UIW0,0
O15164,O94832,0
O15164,Q9UL26,0
O15172,Q9HBZ2,0
O15178,Q8WW18,0
O15195,Q96B23,0
O15197,Q8IYD1,0
O15198,P52298,0
O15209,Q147U7,0
O15211,Q9Y2C2,0
O15217,P52798,0
O15231,Q8NGP0,0
O15232,Q9Y6G5,0
O15240,O43639,0
O15244,O76024,0
O15247,P09525,0
O15254,Q4J6C6,0
O15259,Q6ZMN7,0
O15260,P61221,0
O15263,P20809,0
O15263,Q0VAA5,0
O15264,Q7L0R7,0
O15264,Q9Y5G5,0
O15265,P49767,0
O15265,Q16654,0
O15266,Q96M60,0
O15266,Q9HBH7,0
O15269,Q9P0M2,0
O15287,P57087,0
O15303,Q99767,0
O15304,Q14728,0
O15318,Q9UI26,0
O15327,Q52LW3,0
O15335,Q92765,0
O15342,Q7Z6B7,0
O15344,P05121,0
O15350,Q7Z553,0
O15350,Q9NPG8,0
O15353,Q04771,0
O15354,Q8TF44,0
O15355,P57071,0
O15355,Q8WXF3,0
O15355,Q9H3J6,0
O15357,Q96IQ9,0
O15370,P41161,0
O15370,Q8NGC1,0
O15371,P0CG40,0
O15371,Q8WY36,0
O15372,Q9ULC4,0
O15375,Q7L3B6,0
O15389,Q96AD5,0
O15392,Q9NTG7,0
O15393,P0CJ75,0
O15393,Q8N9U9,0
O15397,P51161,0
O15399,Q9NSA0,0
O15400,Q13443,0
O15400,Q8NGX6,0
O15400,Q9H1M4,0
O15403,Q15649,0
O15405,Q7Z340,0
O15428,P29762,0
O15431,P05387,0
O15431,P61962,0
O15438,P41273,0
O15442,P10243,0
O15444,Q96C92,0
O15457,P10412,0
O15467,Q13342,0
O15467,Q96A72,0
O15479,P01562,0
O15479,P55344,0
O15479,Q9NPH6,0
O15480,Q9HBV2,0
O15482,Q5JU69,0
O15482,Q9HAU8,0
O15484,Q86T82,0
O15484,Q8NDX2,0
O15499,Q96JD6,0
O15504,Q96PK6,0
O15504,Q9BYT3,0
O15519,Q12809,0
O15519,Q6ZNG0,0
O15524,P30876,0
O15525,P37235,0
O15527,Q13477,0
O15533,Q1RMZ1,0
O15537,P67775,0
O15541,Q9NYV9,0
O15551,Q9BUN1,0
O43159,Q13868,0
O43164,Q96NX5,0
O43167,Q8NBN3,0
O43169,Q8WWI1,0
O43173,Q9UGN4,0
O43174,Q96RT8,0
O43182,P32302,0
O43184,Q13685,0
O43189,Q96R30,0
O43193,Q52LD8,0
O43193,Q9NZS2,0
O43236,Q9NR56,0
O43237,Q9BWT3,0
O43240,Q5VU69,0
O43240,Q9UJX2,0
O43246,Q9ULK0,0
O43248,Q7Z5H5,0
O43251,P58499,0
O43255,O75426,0
O43255,P05177,0
O43255,Q6ZUB1,0
O43272,P17066,0
O43280,P18825,0
O43281,Q92478,0
O43283,Q86YS3,0
O43283,Q9NP97,0
O43290,Q6NSI4,0
O43292,Q66K14,0
O43296,Q9Y6X6,0
O43298,O43825,0
O43303,P50542,0
O43307,Q86SK9,0
O43313,Q8WWY7,0
O43315,P26583,0
O43316,P38919,0
O43318,P31150,0
O43323,Q96J88,0
O43324,Q4G0F5,0
O43324,Q9UJS0,0
O43325,Q16589,0
O43345,P27824,0
O43345,Q96N64,0
O43347,P35548,0
O43347,Q6PHR2,0
O43364,O75153,0
O43364,Q9H756,0
O43395,Q8NGE0,0
O43396,Q07666,0
O43396,Q8NGN1,0
O43402,O95925,0
O43414,Q5F1R6,0
O43422,Q9NVR2,0
O43423,P63000,0
O43423,Q9NZI5,0
O43423,Q9UJP4,0
O43427,Q8IWC1,0
O43427,Q9NY27,0
O43432,Q99879,0
O43435,Q8N3X1,0
O43439,Q8N165,0
O43447,P01876,0
O43447,Q08495,0
O43462,Q8IWB6,0
O43462,Q9UI15,0
O43464,Q8IX01,0
O43464,Q9BTV6,0
O43490,Q9UBL0,0
O43491,Q8NGN1,0
O43504,Q9BQ70,0
O43505,Q8TE54,0
O43506,O77932,0
O43516,Q9H1X3,0
O43524,P01597,0
O43541,Q9NYW1,0
O43556,P13584,0
O43559,Q9BRF8,0
O43559,Q9P2G1,0
O43561,Q96IZ0,0
O43572,O75367,0
O43572,Q8N7B1,0
O43581,P48378,0
O43581,Q9UPW0,0
O43586,Q9BT81,0
O43597,Q6PKG0,0
O43597,Q8IUQ4,0
O43602,Q8IYN0,0
O43609,P82933,0
O43612,Q6ZNF0,0
O43614,Q7Z6J6,0
O43614,Q9H204,0
O43617,Q9P2H5,0
O43639,Q6IF82,0
O43639,Q9UBM7,0
O43653,Q6UX07,0
O43653,Q9GZV3,0
O43657,Q86VD1,0
O43657,Q8IVU9,0
O43660,Q96J77,0
O43660,Q9H814,0
O43663,O95072,0
O43665,Q9Y6H3,0
O43670,Q6ZWJ1,0
O43674,Q9P2Z0,0
O43677,Q30154,0
O43677,Q8WVJ9,0
O43678,P21757,0
O43678,Q7L1S5,0
O43679,Q96SI9,0
O43683,Q64ET8,0
O43687,P01563,0
O43692,Q9Y4R7,0
O43719,Q7RTR0,0
O43731,Q1W6H9,0
O43734,O95863,0
O43739,Q8IWR0,0
O43739,Q8N8E3,0
O43741,P81877,0
O43745,Q5XG87,0
O43747,Q02383,0
O43759,Q04760,0
O43766,Q9NW81,0
O43768,P01599,0
O43813,Q8NGK1,0
O43818,P68402,0
O43819,Q7Z5G4,0
O43819,Q8NG76,0
O43823,O95279,0
O43823,Q5VZ66,0
O43824,O95972,0
O43824,P24386,0
O43827,Q96LB3,0
O43829,Q8NHU6,0
O43829,Q9H079,0
O43847,Q9NXI6,0
O43852,Q9NX01,0
O43865,P11226,0
O43889,P42695,0
O43903,P67812,0
O43903,Q6DN12,0
O43909,Q9HCP6,0
O43915,Q1EHB4,0
O43918,P0DMV2,0
O43920,Q8NA19,0
O43921,Q8N7X4,0
O43921,Q9NP58,0
O43930,P02452,0
O43930,Q8WW38,0
O43930,Q9Y2P0,0
O43933,Q8NI29,0
O60218,Q5TD97,0
O60220,P14770,0
O60225,P21452,0
O60231,Q14CZ7,0
O60232,Q96B77,0
O60234,Q9HBH1,0
O60238,Q969N2,0
O60238,Q96K83,0
O60239,Q8NDC4,0
O60240,Q15942,0
O60241,P35030,0
O60241,Q9UI40,0
O60242,Q92729,0
O60244,Q9NPG2,0
O60244,Q9Y2T1,0
O60258,O60930,0
O60258,P56693,0
O60259,Q9UBI4,0
O60279,P27658,0
O60284,Q86YS7,0
O60291,Q8N5S9,0
O60296,P43356,0
O60303,Q96KR7,0
O60306,Q17RQ9,0
O60307,Q6UY01,0
O60308,Q6PL18,0
O60312,O75340,0
O60313,Q03721,0
O60318,P41594,0
O60330,Q9H461,0
O60336,Q460N5,0
O60343,Q12968,0
O60346,Q8TEQ0,0
O60347,P14652,0
O60361,Q15915,0
O60391,P63316,0
O60391,Q96PD6,0
O60393,Q9NYU1,0
O60393,Q9Y5J5,0
O60403,Q0ZGT2,0
O60403,Q13263,0
O60412,Q8WVV5,0
O60423,Q8IY47,0
O60462,Q5VTJ3,0
O60469,P68036,0
O60477,Q9UK76,0
O60479,Q92552,0
O60487,Q6P2D0,0
O60496,O95841,0
O60496,Q8TDM6,0
O60499,P24539,0
O60499,Q7Z3Z3,0
O60499,Q9NRP4,0
O60500,Q96H20,0
O60503,Q9UNW8,0
O60504,Q96LI6,0
O60506,P51888,0
O60506,Q96KG9,0
O60507,Q5VZP5,0
O60508,P13349,0
O60512,Q6PII3,0
O60513,Q9BW27,0
O60513,Q9UHJ3,0
O60522,Q7Z6B7,0
O60542,Q9P031,0
O60547,Q495Y7,0
O60565,Q6PII3,0
O60565,Q9NWT6,0
O60568,Q8TER5,0
O60602,Q6UUV9,0
O60602,Q9UIF7,0
O60613,Q9UJQ1,0
O60645,Q9BXW9,0
O60662,Q9ULC8,0
O60663,Q96HA9,0
O60669,P59095,0
O60674,Q9NPZ5,0
O60675,O95897,0
O60678,Q9Y5T5,0
O60683,O94856,0
O60687,P01718,0
O60687,P09417,0
O60711,O75335,0
O60711,P13631,0
O60725,Q6ZVC0,0
O60732,Q9H5N1,0
O60733,Q96LJ8,0
O60739,Q6UXS0,0
O60759,Q6ZU80,0
O60763,Q9H5F2,0
O60765,Q8TBC3,0
O60784,Q9UKF2,0
O60806,Q9C0B2,0
O60809,P37802,0
O60812,Q9Y2Y9,0
O60828,Q07890,0
O60830,P09496,0
O60831,Q96E09,0
O60841,Q16568,0
O60858,Q7Z5U6,0
O60861,Q02878,0
O60879,O95503,0
O60883,Q8NGF8,0
O60888,Q8IZE3,0
O60894,P27449,0
O60894,Q8NHY0,0
O60894,Q9UIX4,0
O60902,P29803,0
O60902,Q9UMX1,0
O60911,Q96CS3,0
O60925,O76001,0
O60925,Q3KNW5,0
O60925,Q9BTY7,0
O60927,Q8NBI6,0
O60928,O75381,0
O60930,Q6P995,0
O60934,Q09013,0
O60936,Q12947,0
O60936,Q156A1,0
O60936,Q6ZVT0,0
O60938,Q9NSA1,0
O60939,Q6NSW5,0
O60942,Q6J9G0,0
O60942,Q9NRJ3,0
O75019,Q9Y3A0,0
O75031,P43358,0
O75037,Q14994,0
O75037,Q8IUC8,0
O75038,P82932,0
O75038,Q8TE82,0
O75044,Q7Z6E9,0
O75044,Q9H6B9,0
O75054,Q9NUV7,0
O75054,Q9Y3B3,0
O75056,P01037,0
O75064,Q8N594,0
O75069,Q9P273,0
O75077,Q9Y6F8,0
O75081,Q8IZE3,0
O75081,Q92530,0
O75083,Q7Z3Z2,0
O75083,Q9P107,0
O75084,P56851,0
O75093,Q674X7,0
O75095,Q14201,0
O75110,P20265,0
O75112,Q9UM82,0
O75121,Q9H1C0,0
O75122,O75347,0
O75128,Q9H9V9,0
O75140,Q53HC0,0
O75143,Q3LI63,0
O75150,P17677,0
O75152,P98187,0
O75159,Q5TEJ8,0
O75161,P0CG00,0
O75164,Q7L8A9,0
O75175,Q9UM73,0
O75179,P20340,0
O75179,Q9NSB8,0
O75179,Q9UBG7,0
O75182,Q9BQI7,0
O75208,Q13133,0
O75251,Q53HC9,0
O75264,Q9HDC5,0
O75264,Q9NPZ5,0
O75298,Q96IG2,0
O75309,Q96MC2,0
O75317,Q3MII6,0
O75326,Q8N7W2,0
O75326,Q9H8K7,0
O75333,P15863,0
O75340,Q9H169,0
O75342,Q8NEL9,0
O75343,P26010,0
O75363,Q9NP91,0
O75364,Q8IWD5,0
O75365,Q8N4X5,0
O75376,Q8WUW1,0
O75385,Q0VAF6,0
O75386,P02671,0
O75387,Q9BYJ1,0
O75394,P10276,0
O75398,P14859,0
O75398,Q02978,0
O75398,Q9NQ69,0
O75400,Q7Z7K6,0
O75410,Q9HCS7,0
O75414,Q32P51,0
O75414,Q8NFT8,0
O75419,O95447,0
O75419,P52744,0
O75419,Q6P0Q8,0
O75425,Q8N268,0
O75431,Q9H4L7,0
O75436,P62955,0
O75437,O75604,0
O75443,Q8IZE3,0
O75446,Q96RT1,0
O75460,Q8TD10,0
O75461,O95447,0
O75461,Q8NBQ5,0
O75469,Q15545,0
O75474,P15121,0
O75474,Q9BXY4,0
O75486,Q58FF8,0
O75487,P06400,0
O75493,Q9UHV9,0
O75503,P41217,0
O75503,Q6ZMM2,0
O75508,Q8NBJ7,0
O75509,P35680,0
O75521,Q8IVY1,0
O75526,Q8IUD6,0
O75530,P13804,0
O75534,Q6P1K8,0
O75541,Q9UBY5,0
O75558,Q7Z4H7,0
O75564,Q9H093,0
O75569,Q93097,0
O75578,Q8N4W6,0
O75582,Q86V86,0
O75596,P35398,0
O75596,Q6P1R3,0
O75596,Q9UNE0,0
O75626,Q9Y2B0,0
O75631,Q9BQ04,0
O75638,O95999,0
O75678,Q96G74,0
O75678,Q9Y6R1,0
O75683,P07949,0
O75683,Q4G0U5,0
O75683,Q9HBX9,0
O75689,Q96G42,0
O75695,Q8IXT5,0
O75695,Q9BTM1,0
O75711,P81534,0
O75712,P20594,0
O75715,P09669,0
O75715,P40879,0
O75717,Q96DZ1,0
O75717,Q9Y315,0
O75718,Q96BF6,0
O75781,P49821,0
O75781,Q9HB65,0
O75783,Q5T0Z8,0
O75787,Q8N5F7,0
O75792,Q96BZ9,0
O75794,Q6YBV0,0
O75817,Q6ZMC9,0
O75818,Q6N069,0
O75820,Q6UWE0,0
O75821,P13995,0
O75829,Q9Y5Z7,0
O75840,P19256,0
O75841,Q96KR4,0
O75841,Q9H840,0
O75880,Q10981,0
O75882,P19526,0
O75882,W5XKT8,0
O75884,P0C7X3,0
O75884,P51825,0
O75888,Q96C57,0
O75896,Q5T7P3,0
O75896,Q8TB40,0
O75896,Q96R48,0
O75896,Q9ULK2,0
O75897,Q96EW2,0
O75901,Q8N9W4,0
O75901,Q9C030,0
O75908,Q6NZI2,0
O75914,Q6PID8,0
O75915,P35659,0
O75920,Q9BQ48,0
O75920,Q9UNP9,0
O75928,Q7Z7F0,0
O75934,Q5VXH4,0
O75940,Q6NUN7,0
O75940,Q8NH83,0
O75943,O95237,0
O75951,Q8N2F6,0
O75953,Q9Y6F7,0
O75956,P68363,0
O75956,Q92871,0
O75969,Q9UKX5,0
O75970,Q16549,0
O75971,Q567U6,0
O75973,P55199,0
O75976,P08779,0
O75995,P05408,0
O76000,Q16658,0
O76014,Q13129,0
O76031,Q9ULJ8,0
O76036,Q6PRD7,0
O76038,Q15560,0
O76064,P49842,0
O76076,P09012,0
O76076,P59510,0
O76081,Q15813,0
O76081,Q8NBE8,0
O76094,Q10567,0
O76094,Q7Z624,0
O76096,P36954,0
O76099,Q6MZQ0,0
O76100,P62841,0
O77932,Q92896,0
O94759,Q8IXQ5,0
O94762,P11166,0
O94772,Q96I15,0
O94779,Q92834,0
O94782,P25208,0
O94805,Q9BVP2,0
O94813,Q8WYA6,0
O94819,Q6PGN9,0
O94822,P62316,0
O94855,Q6PID8,0
O94856,Q8N8K9,0
O94856,Q99645,0
O94864,Q15596,0
O94864,Q8IYA7,0
O94864,Q8N127,0
O94876,Q5SRR4,0
O94876,Q9P0L1,0
O94887,Q15080,0
O94888,P11310,0
O94888,Q9NQX5,0
O94898,Q86XD8,0
O94900,Q9BXM9,0
O94906,Q4V9L6,0
O94906,Q92935,0
O94907,Q93045,0
O94911,Q5FWF5,0
O94913,Q96JM3,0
O94916,Q9H0A8,0
O94919,Q8NGL4,0
O94921,P38570,0
O94921,Q92777,0
O94921,Q9Y2C2,0
O94927,Q5T848,0
O94929,Q9Y576,0
O94933,Q15800,0
O94933,Q7Z353,0
O94941,Q9NQ03,0
O94953,P11831,0
O94953,P51124,0
O94953,Q02338,0
O94966,Q6NXR0,0
O94967,Q16473,0
O94986,P32189,0
O94989,P43243,0
O94993,Q8NCW0,0
O94993,Q8NEP7,0
O95006,P0C8F1,0
O95013,Q5T4T1,0
O95025,Q8IWA6,0
O95047,Q9BRX2,0
O95057,P10244,0
O95057,Q9H5Z6,0
O95073,P24158,0
O95073,Q4KMZ1,0
O95076,P78396,0
O95081,P07992,0
O95081,Q8NH61,0
O95084,Q14094,0
O95084,Q9NPA8,0
O95096,Q96R48,0
O95096,Q9Y5S2,0
O95147,Q9NY74,0
O95153,P84074,0
O95154,Q8N983,0
O95155,Q969M1,0
O95157,Q6UXP3,0
O95164,P54852,0
O95166,Q9NP85,0
O95169,Q9NRM1,0
O95170,P60981,0
O95171,Q8NF86,0
O95171,Q8WWY6,0
O95177,Q96LA5,0
O95178,P17152,0
O95196,P32745,0
O95196,P54108,0
O95197,Q9H329,0
O95197,Q9P291,0
O95210,Q14449,0
O95210,Q14761,0
O95221,P08637,0
O95221,P24462,0
O95221,Q9HBU6,0
O95222,Q96EU6,0
O95222,Q9BV29,0
O95232,Q9Y3E5,0
O95235,Q53F19,0
O95237,P15514,0
O95237,Q6GPH4,0
O95237,Q969Z3,0
O95238,Q4G0X4,0
O95238,Q86UN3,0
O95239,Q05048,0
O95251,Q96PJ5,0
O95251,Q9H633,0
O95259,P42704,0
O95273,Q7Z6I8,0
O95295,Q9HCQ7,0
O95343,Q9Y2D8,0
O95359,Q9NTK5,0
O95373,Q92747,0
O95379,Q13641,0
O95379,Q6T311,0
O95379,Q8IYP9,0
O95382,Q96BR9,0
O95389,Q08116,0
O95391,Q9NR31,0
O95393,Q96I34,0
O95400,P01374,0
O95402,Q8NGK0,0
O95405,Q9BZQ2,0
O95405,Q9P0J1,0
O95406,Q96LX8,0
O95407,Q6WCQ1,0
O95415,Q96HR3,0
O95415,Q99613,0
O95425,P35504,0
O95429,Q9HCT0,0
O95433,Q9UBZ9,0
O95445,Q9NRJ4,0
O95447,P34981,0
O95453,Q13115,0
O95466,P43378,0
O95467,Q9NPG4,0
O95470,Q9Y473,0
O95479,Q9UBF6,0
O95484,P55087,0
O95500,P37198,0
O95528,Q9H1A3,0
O95568,P29377,0
O95568,Q9H3G5,0
O95571,Q9C029,0
O95622,Q9BPZ2,0
O95622,Q9UN75,0
O95625,Q9NU23,0
O95628,Q9H0C2,0
O95630,Q5TEC6,0
O95631,Q9H1X1,0
O95631,Q9UKW4,0
O95644,Q9NZI2,0
O95665,P06727,0
O95678,Q8NFH8,0
O95684,Q99952,0
O95685,P17181,0
O95704,Q9BZV3,0
O95715,Q8TBZ9,0
O95716,Q6ZNB5,0
O95744,Q13641,0
O95747,P51449,0
O95747,Q9Y5Y9,0
O95751,O96014,0
O95754,Q0VF96,0
O95754,Q9NRD5,0
O95758,Q8IYD2,0
O95758,Q9BQP9,0
O95760,P34096,0
O95760,Q1EHB4,0
O95789,Q9NUW8,0
O95793,P51814,0
O95800,Q15642,0
O95813,P19652,0
O95816,Q6ZR62,0
O95816,Q8NH73,0
O95819,Q4G0X4,0
O95819,Q9BW62,0
O95831,Q6ZVK8,0
O95831,Q9NX76,0
O95831,Q9Y210,0
O95833,P10176,0
O95835,Q9NRC1,0
O95843,P09341,0
O95843,Q9UKM9,0
O95858,Q5VU92,0
O95858,Q8TC57,0
O95865,Q4KMQ1,0
O95865,Q9NTW7,0
O95866,Q96BW5,0
O95867,Q9NQ33,0
O95870,Q6QNK2,0
O95872,P36404,0
O95876,Q8NHY6,0
O95925,Q8WWM7,0
O95931,Q3LI67,0
O95935,Q76N89,0
O95936,P0C7P0,0
O95947,P21941,0
O95967,Q9C0C4,0
O95968,Q99895,0
O95969,Q9NPU4,0
O95970,Q16829,0
O95972,Q92624,0
O95976,Q2M5E4,0
O95976,Q9BY08,0
O95976,Q9H3R5,0
O95977,P60880,0
O95977,Q96EN9,0
O95980,Q6AI14,0
O95983,P41214,0
O95983,Q7Z3G6,0
O95985,Q9Y534,0
O95989,P58012,0
O95992,Q70CQ1,0
O95996,Q12866,0
O96005,Q96T37,0
O96007,Q8N729,0
O96007,Q9UJK0,0
O96008,Q8NGG0,0
O96014,Q9UHI8,0
O96024,Q49AS3,0
P00367,P30518,0
P00374,P0DUQ1,0
P00390,P43360,0
P00403,Q9Y3D6,0
P00441,P01762,0
P00451,Q9Y5E8,0
P00492,Q96BW1,0
P00533,Q12986,0
P00533,Q5VT40,0
P00540,Q6XR72,0
P00739,Q6NXT4,0
P00739,Q9N2K0,0
P00746,Q96BJ3,0
P00748,Q9Y5G6,0
P00813,Q9BYJ4,0
P00918,Q96M34,0
P00918,Q9HC47,0
P00973,P58173,0
P00995,Q5VXD3,0
P01011,Q01860,0
P01033,Q6UWY2,0
P01033,Q99719,0
P01036,P29122,0
P01036,Q9Y5A9,0
P01100,P08567,0
P01100,P27448,0
P01100,P62140,0
P01106,P82673,0
P01106,Q6UXB1,0
P01111,P04731,0
P01112,P60983,0
P01127,Q0VDF9,0
P01133,Q8WWC4,0
P01133,Q92542,0
P01133,Q9NU63,0
P01137,P23945,0
P01138,Q9UH65,0
P01148,Q8N149,0
P01178,Q9NVM9,0
P01185,Q9Y2R2,0
P01210,Q9BXJ0,0
P01213,Q6ZSA7,0
P01225,Q15782,0
P01225,Q7Z7J5,0
P01225,Q9NUX5,0
P01225,Q9Y2Y0,0
P01229,Q6IQ55,0
P01229,Q8TF74,0
P01242,Q14749,0
P01258,Q86YS6,0
P01298,Q12852,0
P01298,Q9C0B5,0
P01303,Q5SRR4,0
P01344,Q9H237,0
P01344,Q9UJW9,0
P01350,Q9BUN8,0
P01350,Q9BYV9,0
P01375,P61313,0
P01563,Q9Y3A2,0
P01567,Q14140,0
P01567,Q86SJ2,0
P01568,Q9BS31,0
P01571,Q9NYK5,0
P01588,P50616,0
P01589,Q04725,0
P01591,Q8NHW6,0
P01593,Q8N9Z9,0
P01597,Q9P272,0
P01599,Q15517,0
P01599,Q7L2J0,0
P01602,Q9BXJ9,0
P01602,Q9HCC0,0
P01611,P23352,0
P01615,Q9UBC7,0
P01699,Q92804,0
P01700,Q13261,0
P01700,Q86SK9,0
P01701,Q13206,0
P01703,Q13889,0
P01704,P0C7A2,0
P01714,P59190,0
P01715,Q96K58,0
P01717,Q6NX45,0
P01717,Q86VH4,0
P01718,Q02985,0
P01732,Q8WV92,0
P01737,Q8TBR4,0
P01737,Q9ULT6,0
P01743,Q15040,0
P01762,Q9H8M9,0
P01763,Q86U28,0
P01764,P17481,0
P01764,Q86VD1,0
P01766,P01911,0
P01766,Q5MAI5,0
P01767,Q5XKE5,0
P01782,Q96PV6,0
P01817,P09466,0
P01824,P10073,0
P01824,P84157,0
P01834,P0DP73,0
P01850,P04733,0
P01854,Q9NVX0,0
P01857,P52895,0
P01860,Q96QK8,0
P01861,P41217,0
P01877,Q9UNF0,0
P01880,Q9BWG4,0
P01889,P29084,0
P01889,Q9P281,0
P01893,P51530,0
P01893,Q9NY91,0
P01920,Q8TAW3,0
P02042,P61981,0
P02042,Q12829,0
P02042,Q9BTX1,0
P02452,Q5JSH3,0
P02461,P0DPB6,0
P02462,Q4VC12,0
P02462,Q9NQX0,0
P02511,Q9UJA9,0
P02545,Q8TCG1,0
P02647,Q9NQA5,0
P02656,Q96HH9,0
P02686,Q5W064,0
P02741,Q504T8,0
P02749,Q5T2Q4,0
P02750,Q9H9P2,0
P02751,P0DTE8,0
P02753,Q9NZI7,0
P02760,Q01628,0
P02763,Q8IVF6,0
P02766,P43361,0
P02776,Q13309,0
P02778,Q587J7,0
P02778,Q8N9V2,0
P02786,Q96MX6,0
P02787,Q8N5W8,0
P02794,Q658L1,0
P02795,Q9P1U0,0
P02808,Q96MI9,0
P02812,Q9P2X0,0
P02818,Q6X4T0,0
P02818,Q92610,0
P03886,Q9UL54,0
P03897,Q9BXU9,0
P03905,Q8IYE0,0
P03905,Q8NEV8,0
P03950,Q96RB7,0
P03952,P35249,0
P03973,Q14149,0
P03973,Q8IWP9,0
P03979,Q86XR8,0
P03979,Q9BYJ4,0
P03979,Q9NV92,0
P04000,P34820,0
P04001,Q658N2,0
P04004,Q8WXU2,0
P04004,Q9BYH1,0
P04004,Q9H3W5,0
P04035,Q9H1X1,0
P04053,Q969V4,0
P04066,Q02083,0
P04066,Q9BSU3,0
P04070,Q9NX38,0
P04080,Q9BXL8,0
P04080,Q9UBT3,0
P04085,Q5SZL2,0
P04118,Q9Y471,0
P04155,Q9Y3A0,0
P04198,Q6WBX8,0
P04198,Q9UHV8,0
P04216,Q5T215,0
P04217,Q8WWZ7,0
P04259,Q8WW35,0
P04278,Q5T5M9,0
P04430,Q5TZK3,0
P04430,Q92783,0
P04430,Q9Y6I3,0
P04435,Q5JTN6,0
P04437,Q96EB1,0
P04628,Q9H2S5,0
P04732,Q9P1A2,0
P04921,P08708,0
P04921,Q96IT1,0
P05013,Q8N6I1,0
P05014,Q5T089,0
P05015,Q9H3F6,0
P05067,Q96C00,0
P05107,Q96SK2,0
P05108,Q5T9C2,0
P05121,Q9BY77,0
P05141,Q8NBJ5,0
P05155,Q04741,0
P05160,P12814,0
P05160,Q969S8,0
P05166,P26583,0
P05198,Q6ZMW3,0
P05198,Q9BXU1,0
P05231,P47775,0
P05305,P0C264,0
P05362,P46926,0
P05362,Q5SZI1,0
P05386,P20339,0
P05387,Q9UNU6,0
P05413,Q01415,0
P05413,Q6UXH1,0
P05413,Q8N6H7,0
P05423,Q14995,0
P05455,P54284,0
P05783,Q86SQ7,0
P05814,Q99549,0
P05981,Q0VAK6,0
P06127,Q9P0M6,0
P06312,Q9HCN4,0
P06315,P10636,0
P06331,Q8N1W1,0
P06396,P36888,0
P06401,P35626,0
P06401,Q8NEG7,0
P06401,Q8TAX7,0
P06702,P10109,0
P06702,Q9ULH4,0
P06737,Q6ZNG2,0
P06748,Q8NA03,0
P06748,Q9NRR6,0
P06858,Q16513,0
P06858,Q96M32,0
P06899,P61964,0
P07101,Q6PJG9,0
P07101,Q99470,0
P07197,Q49B96,0
P07197,Q8TAG5,0
P07199,Q9BPW5,0
P07204,Q96NT5,0
P07288,Q9HD23,0
P07307,Q5T848,0
P07307,Q9NP64,0
P07316,Q15646,0
P07316,Q9NRG7,0
P07333,Q8TAU3,0
P07359,Q2TAC2,0
P07359,Q86YJ6,0
P07360,Q68D86,0
P07437,Q4VCS5,0
P07438,Q8N4K4,0
P07492,P56179,0
P07510,P43355,0
P07602,Q8N9F0,0
P07814,Q9ULK0,0
P07864,Q8NGJ6,0
P07910,Q8IV45,0
P07911,Q7Z7E8,0
P07911,Q8IXT5,0
P07949,Q9P0L0,0
P08048,Q9P203,0
P08118,Q9Y5H6,0
P08134,Q6UWY5,0
P08138,P67812,0
P08138,Q96E17,0
P08138,Q9NRF2,0
P08151,Q9BUW7,0
P08172,P0DML2,0
P08172,Q8N104,0
P08174,Q8TD94,0
P08217,Q14011,0
P08217,Q5TEC3,0
P08246,P0CG21,0
P08246,Q6X4U4,0
P08253,Q9Y2R5,0
P08254,Q9NS98,0
P08311,Q8WVF2,0
P08493,Q8N815,0
P08567,P49638,0
P08571,Q9Y5W8,0
P08572,P62491,0
P08579,P51149,0
P08631,Q9BWH6,0
P08637,P13232,0
P08648,Q6EMK4,0
P08648,Q8TDN4,0
P08684,Q8WXE0,0
P08686,Q8WUF5,0
P08686,Q9BRK3,0
P08686,Q9UI43,0
P08700,Q9UQ03,0
P08708,Q5VUJ5,0
P08708,Q96JH7,0
P08709,Q8IYS0,0
P08754,Q9NV35,0
P08833,Q96CV9,0
P08833,Q9Y6M0,0
P08842,P56181,0
P08861,Q7RTV5,0
P08865,Q5T447,0
P08910,Q15323,0
P08912,Q6WCQ1,0
P08912,Q6ZMT9,0
P08922,P56178,0
P09016,Q05315,0
P09016,Q9Y5X0,0
P09017,Q86SE9,0
P09038,P51151,0
P09093,P27695,0
P09093,Q8NFT2,0
P09093,Q96HB5,0
P09093,Q99607,0
P09105,Q8N371,0
P09132,Q8NHU6,0
P09210,P0C7V0,0
P09228,Q8N9B8,0
P09326,Q9NZI5,0
P09382,P22304,0
P09382,Q5JVS0,0
P09382,Q8N2W9,0
P09429,Q5H9E4,0
P09429,Q96GQ7,0
P09486,Q9GZZ0,0
P09544,Q9Y471,0
P09564,Q9NYZ1,0
P09601,P60880,0
P09603,Q8WUA7,0
P09619,P49418,0
P09661,Q9NRD5,0
P09669,Q5HYJ3,0
P09669,Q8NHQ8,0
P09693,Q16637,0
P09693,Q8NGE3,0
P09917,Q8TAC9,0
P09936,Q9H2P0,0
P09936,Q9HAU5,0
