Protein1,Protein2,avg_n_models
O60499,Q7Z3Z3,0.333
O60499,Q9NRP4,0.333
O60500,Q96H20,0.333
O60503,Q9UNW8,0.333
O60504,Q96LI6,0.333
O60506,P51888,0.333
O60506,Q96KG9,0.333
O60507,Q5VZP5,0.333
O60508,P13349,0.333
O60512,Q6PII3,0.333
O60513,Q9BW27,0.333
O60513,Q9UHJ3,0.333
O60522,Q7Z6B7,0.333
O60542,Q9P031,0.333
O60547,Q495Y7,0.333
O60565,Q6PII3,0.333
O60565,Q9NWT6,0.333
O60568,Q8TER5,0.333
O60602,Q6UUV9,0.333
O60602,Q9UIF7,0.333
O60613,Q9UJQ1,0.333
O60645,Q9BXW9,0.333
O60662,Q9ULC8,0.333
O60663,Q96HA9,0.333
O60669,P59095,0.333
O60674,Q9NPZ5,0.333
O60675,O95897,0.333
O60678,Q9Y5T5,0.333
O60683,O94856,0.333
O60687,P01718,0.333
O60687,P09417,0.333
O60711,O75335,0.333
O60711,P13631,0.333
O60725,Q6ZVC0,0.333
O60732,Q9H5N1,0.333
O60733,Q96LJ8,0.333
O60739,Q6UXS0,0.333
O60759,Q6ZU80,0.333
O60763,Q9H5F2,0.333
O60765,Q8TBC3,0.333
O60784,Q9UKF2,0.333
O60806,Q9C0B2,0.333
O60809,P37802,0.333
O60812,Q9Y2Y9,0.333
O60828,Q07890,0.333
O60830,P09496,0.333
O60831,Q96E09,0.333
O60841,Q16568,0.333
O60858,Q7Z5U6,0.333
O60861,Q02878,0.333
O60879,O95503,0.333
O60883,Q8NGF8,0.333
O60888,Q8IZE3,0.333
O60894,P27449,0.333
O60894,Q8NHY0,0.333
O60894,Q9UIX4,0.333
O60902,P29803,0.333
O60902,Q9UMX1,0.333
O60911,Q96CS3,0.333
O60925,O76001,0.333
O60925,Q3KNW5,0.333
O60925,Q9BTY7,0.333
O60927,Q8NBI6,0.333
O60928,O75381,0.333
O60930,Q6P995,0.333
O60934,Q09013,0.333
O60936,Q12947,0.333
O60936,Q156A1,0.333
O60936,Q6ZVT0,0.333
O60938,Q9NSA1,0.333
O60939,Q6NSW5,0.333
O60942,Q6J9G0,0.333
O60942,Q9NRJ3,0.333
O75019,Q9Y3A0,0.333
O75031,P43358,0.333
O75037,Q14994,0.333
O75037,Q8IUC8,0.333
O75038,P82932,0.333
O75038,Q8TE82,0.333
O75044,Q7Z6E9,0.333
O75044,Q9H6B9,0.333
O75054,Q9NUV7,0.333
O75054,Q9Y3B3,0.333
O75056,P01037,0.333
O75064,Q8N594,0.333
O75069,Q9P273,0.333
O75077,Q9Y6F8,0.333
O75081,Q8IZE3,0.333
O75081,Q92530,0.333
O75083,Q7Z3Z2,0.333
O75083,Q9P107,0.333
O75084,P56851,0.333
O75093,Q674X7,0.333
O75095,Q14201,0.333
O75110,P20265,0.333
O75112,Q9UM82,0.333
O75121,Q9H1C0,0.333
O75122,O75347,0.333
O75128,Q9H9V9,0.333
O75140,Q53HC0,0.333
O75143,Q3LI63,0.333
O75150,P17677,0.333
O75152,P98187,0.333
O75159,Q5TEJ8,0.333
O75161,P0CG00,0.333
O75164,Q7L8A9,0.333
O75175,Q9UM73,0.333
O75179,P20340,0.333
O75179,Q9NSB8,0.333
O75179,Q9UBG7,0.333
O75182,Q9BQI7,0.333
O75208,Q13133,0.333
O75251,Q53HC9,0.333
O75264,Q9HDC5,0.333
O75264,Q9NPZ5,0.333
O75298,Q96IG2,0.333
O75309,Q96MC2,0.333
O75317,Q3MII6,0.333
O75326,Q8N7W2,0.333
O75326,Q9H8K7,0.333
O75333,P15863,0.333
O75340,Q9H169,0.333
O75342,Q8NEL9,0.333
O75343,P26010,0.333
O75363,Q9NP91,0.333
O75364,Q8IWD5,0.333
O75365,Q8N4X5,0.333
O75376,Q8WUW1,0.333
O75385,Q0VAF6,0.333
O75386,P02671,0.333
O75387,Q9BYJ1,0.333
O75394,P10276,0.333
O75398,P14859,0.333
O75398,Q02978,0.333
O75398,Q9NQ69,0.333
O75400,Q7Z7K6,0.333
O75410,Q9HCS7,0.333
O75414,Q32P51,0.333
O75414,Q8NFT8,0.333
O75419,O95447,0.333
O75419,P52744,0.333
O75419,Q6P0Q8,0.333
O75425,Q8N268,0.333
O75431,Q9H4L7,0.333
O75436,P62955,0.333
O75437,O75604,0.333
O75443,Q8IZE3,0.333
O75446,Q96RT1,0.333
O75460,Q8TD10,0.333
O75461,O95447,0.333
O75461,Q8NBQ5,0.333
O75469,Q15545,0.333
O75474,P15121,0.333
O75474,Q9BXY4,0.333
O75486,Q58FF8,0.333
O75487,P06400,0.333
O75493,Q9UHV9,0.333
O75503,P41217,0.333
O75503,Q6ZMM2,0.333
O75508,Q8NBJ7,0.333
O75509,P35680,0.333
O75521,Q8IVY1,0.333
O75526,Q8IUD6,0.333
O75530,P13804,0.333
O75534,Q6P1K8,0.333
O75541,Q9UBY5,0.333
O75558,Q7Z4H7,0.333
O75564,Q9H093,0.333
O75569,Q93097,0.333
O75578,Q8N4W6,0.333
O75582,Q86V86,0.333
O75596,P35398,0.333
O75596,Q6P1R3,0.333
O75596,Q9UNE0,0.333
O75626,Q9Y2B0,0.333
O75631,Q9BQ04,0.333
O75638,O95999,0.333
O75678,Q96G74,0.333
O75678,Q9Y6R1,0.333
O75683,P07949,0.333
O75683,Q4G0U5,0.333
O75683,Q9HBX9,0.333
O75689,Q96G42,0.333
O75695,Q8IXT5,0.333
O75695,Q9BTM1,0.333
O75711,P81534,0.333
O75712,P20594,0.333
O75715,P09669,0.333
O75715,P40879,0.333
O75717,Q96DZ1,0.333
O75717,Q9Y315,0.333
O75718,Q96BF6,0.333
O75781,P49821,0.333
O75781,Q9HB65,0.333
O75783,Q5T0Z8,0.333
O75787,Q8N5F7,0.333
O75792,Q96BZ9,0.333
O75794,Q6YBV0,0.333
O75817,Q6ZMC9,0.333
O75818,Q6N069,0.333
O75820,Q6UWE0,0.333
O75821,P13995,0.333
O75829,Q9Y5Z7,0.333
O75840,P19256,0.333
O75841,Q96KR4,0.333
O75841,Q9H840,0.333
O75880,Q10981,0.333
O75882,P19526,0.333
O75882,W5XKT8,0.333
O75884,P0C7X3,0.333
O75884,P51825,0.333
O75888,Q96C57,0.333
O75896,Q5T7P3,0.333
O75896,Q8TB40,0.333
O75896,Q96R48,0.333
O75896,Q9ULK2,0.333
O75897,Q96EW2,0.333
O75901,Q8N9W4,0.333
O75901,Q9C030,0.333
O75908,Q6NZI2,0.333
O75914,Q6PID8,0.333
O75915,P35659,0.333
O75920,Q9BQ48,0.333
O75920,Q9UNP9,0.333
O75928,Q7Z7F0,0.333
O75934,Q5VXH4,0.333
O75940,Q6NUN7,0.333
O75940,Q8NH83,0.333
O75943,O95237,0.333
O75951,Q8N2F6,0.333
O75953,Q9Y6F7,0.333
O75956,P68363,0.333
O75956,Q92871,0.333
O75969,Q9UKX5,0.333
O75970,Q16549,0.333
O75971,Q567U6,0.333
O75973,P55199,0.333
O75976,P08779,0.333
O75995,P05408,0.333
O76000,Q16658,0.333
O76014,Q13129,0.333
O76031,Q9ULJ8,0.333
O76036,Q6PRD7,0.333
O76038,Q15560,0.333
O76064,P49842,0.333
O76076,P09012,0.333
O76076,P59510,0.333
O76081,Q15813,0.333
O76081,Q8NBE8,0.333
O76094,Q10567,0.333
O76094,Q7Z624,0.333
O76096,P36954,0.333
O76099,Q6MZQ0,0.333
O76100,P62841,0.333
O77932,Q92896,0.333
O94759,Q8IXQ5,0.333
O94762,P11166,0.333
O94772,Q96I15,0.333
O94779,Q92834,0.333
O94782,P25208,0.333
O94805,Q9BVP2,0.333
O94813,Q8WYA6,0.333
O94819,Q6PGN9,0.333
O94822,P62316,0.333
O94855,Q6PID8,0.333
O94856,Q8N8K9,0.333
O94856,Q99645,0.333
O94864,Q15596,0.333
O94864,Q8IYA7,0.333
O94864,Q8N127,0.333
O94876,Q5SRR4,0.333
O94876,Q9P0L1,0.333
O94887,Q15080,0.333
O94888,P11310,0.333
O94888,Q9NQX5,0.333
O94898,Q86XD8,0.333
O94900,Q9BXM9,0.333
O94906,Q4V9L6,0.333
O94906,Q92935,0.333
O94907,Q93045,0.333
O94911,Q5FWF5,0.333
O94913,Q96JM3,0.333
O94916,Q9H0A8,0.333
O94919,Q8NGL4,0.333
O94921,P38570,0.333
O94921,Q92777,0.333
O94921,Q9Y2C2,0.333
O94927,Q5T848,0.333
O94929,Q9Y576,0.333
O94933,Q15800,0.333
O94933,Q7Z353,0.333
O94941,Q9NQ03,0.333
O94953,P11831,0.333
O94953,P51124,0.333
O94953,Q02338,0.333
O94966,Q6NXR0,0.333
O94967,Q16473,0.333
O94986,P32189,0.333
O94989,P43243,0.333
O94993,Q8NCW0,0.333
O94993,Q8NEP7,0.333
O95006,P0C8F1,0.333
O95013,Q5T4T1,0.333
O95025,Q8IWA6,0.333
O95047,Q9BRX2,0.333
O95057,P10244,0.333
O95057,Q9H5Z6,0.333
O95073,P24158,0.333
O95073,Q4KMZ1,0.333
O95076,P78396,0.333
O95081,P07992,0.333
O95081,Q8NH61,0.333
O95084,Q14094,0.333
O95084,Q9NPA8,0.333
O95096,Q96R48,0.333
O95096,Q9Y5S2,0.333
O95147,Q9NY74,0.333
O95153,P84074,0.333
O95154,Q8N983,0.333
O95155,Q969M1,0.333
O95157,Q6UXP3,0.333
O95164,P54852,0.333
O95166,Q9NP85,0.333
O95169,Q9NRM1,0.333
O95170,P60981,0.333
O95171,Q8NF86,0.333
O95171,Q8WWY6,0.333
O95177,Q96LA5,0.333
O95178,P17152,0.333
O95196,P32745,0.333
O95196,P54108,0.333
O95197,Q9H329,0.333
O95197,Q9P291,0.333
O95210,Q14449,0.333
O95210,Q14761,0.333
O95221,P08637,0.333
O95221,P24462,0.333
O95221,Q9HBU6,0.333
O95222,Q96EU6,0.333
O95222,Q9BV29,0.333
O95232,Q9Y3E5,0.333
O95235,Q53F19,0.333
O95237,P15514,0.333
O95237,Q6GPH4,0.333
O95237,Q969Z3,0.333
O95238,Q4G0X4,0.333
O95238,Q86UN3,0.333
O95239,Q05048,0.333
O95251,Q96PJ5,0.333
O95251,Q9H633,0.333
O95259,P42704,0.333
O95273,Q7Z6I8,0.333
O95295,Q9HCQ7,0.333
O95343,Q9Y2D8,0.333
O95359,Q9NTK5,0.333
O95373,Q92747,0.333
O95379,Q13641,0.333
O95379,Q6T311,0.333
O95379,Q8IYP9,0.333
O95382,Q96BR9,0.333
O95389,Q08116,0.333
O95391,Q9NR31,0.333
O95393,Q96I34,0.333
O95400,P01374,0.333
O95402,Q8NGK0,0.333
O95405,Q9BZQ2,0.333
O95405,Q9P0J1,0.333
O95406,Q96LX8,0.333
O95407,Q6WCQ1,0.333
O95415,Q96HR3,0.333
O95415,Q99613,0.333
O95425,P35504,0.333
O95429,Q9HCT0,0.333
O95433,Q9UBZ9,0.333
O95445,Q9NRJ4,0.333
O95447,P34981,0.333
O95453,Q13115,0.333
O95466,P43378,0.333
O95467,Q9NPG4,0.333
O95470,Q9Y473,0.333
O95479,Q9UBF6,0.333
O95484,P55087,0.333
O95500,P37198,0.333
O95528,Q9H1A3,0.333
O95568,P29377,0.333
O95568,Q9H3G5,0.333
O95571,Q9C029,0.333
O95622,Q9BPZ2,0.333
O95622,Q9UN75,0.333
O95625,Q9NU23,0.333
O95628,Q9H0C2,0.333
O95630,Q5TEC6,0.333
O95631,Q9H1X1,0.333
O95631,Q9UKW4,0.333
O95644,Q9NZI2,0.333
O95665,P06727,0.333
O95678,Q8NFH8,0.333
O95684,Q99952,0.333
O95685,P17181,0.333
O95704,Q9BZV3,0.333
O95715,Q8TBZ9,0.333
O95716,Q6ZNB5,0.333
O95744,Q13641,0.333
O95747,P51449,0.333
O95747,Q9Y5Y9,0.333
O95751,O96014,0.333
O95754,Q0VF96,0.333
O95754,Q9NRD5,0.333
O95758,Q8IYD2,0.333
O95758,Q9BQP9,0.333
O95760,P34096,0.333
O95760,Q1EHB4,0.333
O95789,Q9NUW8,0.333
O95793,P51814,0.333
O95800,Q15642,0.333
O95813,P19652,0.333
O95816,Q6ZR62,0.333
O95816,Q8NH73,0.333
O95819,Q4G0X4,0.333
O95819,Q9BW62,0.333
O95831,Q6ZVK8,0.333
O95831,Q9NX76,0.333
O95831,Q9Y210,0.333
O95833,P10176,0.333
O95835,Q9NRC1,0.333
O95843,P09341,0.333
O95843,Q9UKM9,0.333
O95858,Q5VU92,0.333
O95858,Q8TC57,0.333
O95865,Q4KMQ1,0.333
O95865,Q9NTW7,0.333
O95866,Q96BW5,0.333
O95867,Q9NQ33,0.333
O95870,Q6QNK2,0.333
O95872,P36404,0.333
O95876,Q8NHY6,0.333
O95925,Q8WWM7,0.333
O95931,Q3LI67,0.333
O95935,Q76N89,0.333
O95936,P0C7P0,0.333
O95947,P21941,0.333
O95967,Q9C0C4,0.333
O95968,Q99895,0.333
O95969,Q9NPU4,0.333
O95970,Q16829,0.333
O95972,Q92624,0.333
O95976,Q2M5E4,0.333
O95976,Q9BY08,0.333
O95976,Q9H3R5,0.333
O95977,P60880,0.333
O95977,Q96EN9,0.333
O95980,Q6AI14,0.333
O95983,P41214,0.333
O95983,Q7Z3G6,0.333
O95985,Q9Y534,0.333
O95989,P58012,0.333
O95992,Q70CQ1,0.333
O95996,Q12866,0.333
O96005,Q96T37,0.333
O96007,Q8N729,0.333
O96007,Q9UJK0,0.333
O96008,Q8NGG0,0.333
O96014,Q9UHI8,0.333
O96024,Q49AS3,0.333
P00367,P30518,0.333
P00374,P0DUQ1,0.333
P00390,P43360,0.333
P00403,Q9Y3D6,0.333
P00441,P01762,0.333
P00451,Q9Y5E8,0.333
P00492,Q96BW1,0.333
P00533,Q12986,0.333
P00533,Q5VT40,0.333
P00540,Q6XR72,0.333
P00739,Q6NXT4,0.333
P00739,Q9N2K0,0.333
P00746,Q96BJ3,0.333
P00748,Q9Y5G6,0.333
P00813,Q9BYJ4,0.333
P00918,Q96M34,0.333
P00918,Q9HC47,0.333
P00973,P58173,0.333
P00995,Q5VXD3,0.333
P01011,Q01860,0.333
P01033,Q6UWY2,0.333
P01033,Q99719,0.333
P01036,P29122,0.333
P01036,Q9Y5A9,0.333
P01100,P08567,0.333
P01100,P27448,0.333
P01100,P62140,0.333
P01106,P82673,0.333
P01106,Q6UXB1,0.333
P01111,P04731,0.333
P01112,P60983,0.333
P01127,Q0VDF9,0.333
P01133,Q8WWC4,0.333
P01133,Q92542,0.333
P01133,Q9NU63,0.333
P01137,P23945,0.333
P01138,Q9UH65,0.333
P01148,Q8N149,0.333
P01178,Q9NVM9,0.333
P01185,Q9Y2R2,0.333
P01210,Q9BXJ0,0.333
P01213,Q6ZSA7,0.333
P01225,Q15782,0.333
P01225,Q7Z7J5,0.333
P01225,Q9NUX5,0.333
P01225,Q9Y2Y0,0.333
P01229,Q6IQ55,0.333
P01229,Q8TF74,0.333
P01242,Q14749,0.333
P01258,Q86YS6,0.333
P01298,Q12852,0.333
P01298,Q9C0B5,0.333
P01303,Q5SRR4,0.333
P01344,Q9H237,0.333
P01344,Q9UJW9,0.333
P01350,Q9BUN8,0.333
P01350,Q9BYV9,0.333
P01375,P61313,0.333
P01563,Q9Y3A2,0.333
P01567,Q14140,0.333
P01567,Q86SJ2,0.333
P01568,Q9BS31,0.333
P01571,Q9NYK5,0.333
P01588,P50616,0.333
P01589,Q04725,0.333
P01591,Q8NHW6,0.333
P01593,Q8N9Z9,0.333
P01597,Q9P272,0.333
P01599,Q15517,0.333
P01599,Q7L2J0,0.333
P01602,Q9BXJ9,0.333
P01602,Q9HCC0,0.333
P01611,P23352,0.333
P01615,Q9UBC7,0.333
P01699,Q92804,0.333
P01700,Q13261,0.333
P01700,Q86SK9,0.333
P01701,Q13206,0.333
P01703,Q13889,0.333
P01704,P0C7A2,0.333
P01714,P59190,0.333
P01715,Q96K58,0.333
P01717,Q6NX45,0.333
P01717,Q86VH4,0.333
P01718,Q02985,0.333
P01732,Q8WV92,0.333
P01737,Q8TBR4,0.333
P01737,Q9ULT6,0.333
P01743,Q15040,0.333
P01762,Q9H8M9,0.333
P01763,Q86U28,0.333
P01764,P17481,0.333
P01764,Q86VD1,0.333
P01766,P01911,0.333
P01766,Q5MAI5,0.333
P01767,Q5XKE5,0.333
P01782,Q96PV6,0.333
P01817,P09466,0.333
P01824,P10073,0.333
P01824,P84157,0.333
P01834,P0DP73,0.333
P01850,P04733,0.333
P01854,Q9NVX0,0.333
P01857,P52895,0.333
P01860,Q96QK8,0.333
P01861,P41217,0.333
P01877,Q9UNF0,0.333
P01880,Q9BWG4,0.333
P01889,P29084,0.333
P01889,Q9P281,0.333
P01893,P51530,0.333
P01893,Q9NY91,0.333
P01920,Q8TAW3,0.333
P02042,P61981,0.333
P02042,Q12829,0.333
P02042,Q9BTX1,0.333
P02452,Q5JSH3,0.333
P02461,P0DPB6,0.333
P02462,Q4VC12,0.333
P02462,Q9NQX0,0.333
P02511,Q9UJA9,0.333
P02545,Q8TCG1,0.333
P02647,Q9NQA5,0.333
P02656,Q96HH9,0.333
P02686,Q5W064,0.333
P02741,Q504T8,0.333
P02749,Q5T2Q4,0.333
P02750,Q9H9P2,0.333
P02751,P0DTE8,0.333
P02753,Q9NZI7,0.333
P02760,Q01628,0.333
P02763,Q8IVF6,0.333
P02766,P43361,0.333
P02776,Q13309,0.333
P02778,Q587J7,0.333
P02778,Q8N9V2,0.333
P02786,Q96MX6,0.333
P02787,Q8N5W8,0.333
P02794,Q658L1,0.333
P02795,Q9P1U0,0.333
P02808,Q96MI9,0.333
P02812,Q9P2X0,0.333
P02818,Q6X4T0,0.333
P02818,Q92610,0.333
P03886,Q9UL54,0.333
P03897,Q9BXU9,0.333
P03905,Q8IYE0,0.333
P03905,Q8NEV8,0.333
P03950,Q96RB7,0.333
P03952,P35249,0.333
P03973,Q14149,0.333
P03973,Q8IWP9,0.333
P03979,Q86XR8,0.333
P03979,Q9BYJ4,0.333
P03979,Q9NV92,0.333
P04000,P34820,0.333
P04001,Q658N2,0.333
P04004,Q8WXU2,0.333
P04004,Q9BYH1,0.333
P04004,Q9H3W5,0.333
P04035,Q9H1X1,0.333
P04053,Q969V4,0.333
P04066,Q02083,0.333
P04066,Q9BSU3,0.333
P04070,Q9NX38,0.333
P04080,Q9BXL8,0.333
P04080,Q9UBT3,0.333
P04085,Q5SZL2,0.333
P04118,Q9Y471,0.333
P04155,Q9Y3A0,0.333
P04198,Q6WBX8,0.333
P04198,Q9UHV8,0.333
P04216,Q5T215,0.333
P04217,Q8WWZ7,0.333
P04259,Q8WW35,0.333
P04278,Q5T5M9,0.333
P04430,Q5TZK3,0.333
P04430,Q92783,0.333
P04430,Q9Y6I3,0.333
P04435,Q5JTN6,0.333
P04437,Q96EB1,0.333
P04628,Q9H2S5,0.333
P04732,Q9P1A2,0.333
P04921,P08708,0.333
P04921,Q96IT1,0.333
P05013,Q8N6I1,0.333
P05014,Q5T089,0.333
P05015,Q9H3F6,0.333
P05067,Q96C00,0.333
P05107,Q96SK2,0.333
P05108,Q5T9C2,0.333
P05121,Q9BY77,0.333
P05141,Q8NBJ5,0.333
P05155,Q04741,0.333
P05160,P12814,0.333
P05160,Q969S8,0.333
P05166,P26583,0.333
P05198,Q6ZMW3,0.333
P05198,Q9BXU1,0.333
P05231,P47775,0.333
P05305,P0C264,0.333
P05362,P46926,0.333
P05362,Q5SZI1,0.333
P05386,P20339,0.333
P05387,Q9UNU6,0.333
P05413,Q01415,0.333
P05413,Q6UXH1,0.333
P05413,Q8N6H7,0.333
P05423,Q14995,0.333
P05455,P54284,0.333
P05783,Q86SQ7,0.333
P05814,Q99549,0.333
P05981,Q0VAK6,0.333
P06127,Q9P0M6,0.333
P06312,Q9HCN4,0.333
P06315,P10636,0.333
P06331,Q8N1W1,0.333
P06396,P36888,0.333
P06401,P35626,0.333
P06401,Q8NEG7,0.333
P06401,Q8TAX7,0.333
P06702,P10109,0.333
P06702,Q9ULH4,0.333
P06737,Q6ZNG2,0.333
P06748,Q8NA03,0.333
P06748,Q9NRR6,0.333
P06858,Q16513,0.333
P06858,Q96M32,0.333
P06899,P61964,0.333
P07101,Q6PJG9,0.333
P07101,Q99470,0.333
P07197,Q49B96,0.333
P07197,Q8TAG5,0.333
P07199,Q9BPW5,0.333
P07204,Q96NT5,0.333
P07288,Q9HD23,0.333
P07307,Q5T848,0.333
P07307,Q9NP64,0.333
P07316,Q15646,0.333
P07316,Q9NRG7,0.333
P07333,Q8TAU3,0.333
P07359,Q2TAC2,0.333
P07359,Q86YJ6,0.333
P07360,Q68D86,0.333
P07437,Q4VCS5,0.333
P07438,Q8N4K4,0.333
P07492,P56179,0.333
P07510,P43355,0.333
P07602,Q8N9F0,0.333
P07814,Q9ULK0,0.333
P07864,Q8NGJ6,0.333
P07910,Q8IV45,0.333
P07911,Q7Z7E8,0.333
P07911,Q8IXT5,0.333
P07949,Q9P0L0,0.333
P08048,Q9P203,0.333
P08118,Q9Y5H6,0.333
P08134,Q6UWY5,0.333
P08138,P67812,0.333
P08138,Q96E17,0.333
P08138,Q9NRF2,0.333
P08151,Q9BUW7,0.333
P08172,P0DML2,0.333
P08172,Q8N104,0.333
P08174,Q8TD94,0.333
P08217,Q14011,0.333
P08217,Q5TEC3,0.333
P08246,P0CG21,0.333
P08246,Q6X4U4,0.333
P08253,Q9Y2R5,0.333
P08254,Q9NS98,0.333
P08311,Q8WVF2,0.333
P08493,Q8N815,0.333
P08567,P49638,0.333
P08571,Q9Y5W8,0.333
P08572,P62491,0.333
P08579,P51149,0.333
P08631,Q9BWH6,0.333
P08637,P13232,0.333
P08648,Q6EMK4,0.333
P08648,Q8TDN4,0.333
P08684,Q8WXE0,0.333
P08686,Q8WUF5,0.333
P08686,Q9BRK3,0.333
P08686,Q9UI43,0.333
P08700,Q9UQ03,0.333
P08708,Q5VUJ5,0.333
P08708,Q96JH7,0.333
P08709,Q8IYS0,0.333
P08754,Q9NV35,0.333
P08833,Q96CV9,0.333
P08833,Q9Y6M0,0.333
P08842,P56181,0.333
P08861,Q7RTV5,0.333
P08865,Q5T447,0.333
P08910,Q15323,0.333
P08912,Q6WCQ1,0.333
P08912,Q6ZMT9,0.333
P08922,P56178,0.333
P09016,Q05315,0.333
P09016,Q9Y5X0,0.333
P09017,Q86SE9,0.333
P09038,P51151,0.333
P09093,P27695,0.333
P09093,Q8NFT2,0.333
P09093,Q96HB5,0.333
P09093,Q99607,0.333
P09105,Q8N371,0.333
P09132,Q8NHU6,0.333
P09210,P0C7V0,0.333
P09228,Q8N9B8,0.333
P09326,Q9NZI5,0.333
P09382,P22304,0.333
P09382,Q5JVS0,0.333
P09382,Q8N2W9,0.333
P09429,Q5H9E4,0.333
P09429,Q96GQ7,0.333
P09486,Q9GZZ0,0.333
P09544,Q9Y471,0.333
P09564,Q9NYZ1,0.333
P09601,P60880,0.333
P09603,Q8WUA7,0.333
P09619,P49418,0.333
P09661,Q9NRD5,0.333
P09669,Q5HYJ3,0.333
P09669,Q8NHQ8,0.333
P09693,Q16637,0.333
P09693,Q8NGE3,0.333
P09917,Q8TAC9,0.333
P09936,Q9H2P0,0.333
P09936,Q9HAU5,0.333
P09958,Q8NG97,0.333
P0C025,Q96IW2,0.333
P0C0S8,Q6X4T0,0.333
P0C0S8,Q7Z7C7,0.333
P0C1H6,P15172,0.333
P0C1H6,Q9H0F6,0.333
P0C1H6,Q9NS39,0.333
P0C1S8,Q7Z3T8,0.333
P0C263,P0DI83,0.333
P0C263,Q8NHX4,0.333
P0C264,P56696,0.333
P0C2L3,Q15014,0.333
P0C2W1,Q69YW2,0.333
P0C5K7,Q9NWQ9,0.333
P0C604,Q99943,0.333
P0C604,Q9NPH0,0.333
P0C617,Q5T5J6,0.333
P0C629,Q9HB40,0.333
P0C6A0,Q9C000,0.333
P0C6C1,P20749,0.333
P0C6C1,Q6IQ23,0.333
P0C6P0,Q8WXC3,0.333
P0C7H9,Q8WXF0,0.333
P0C7M7,Q5HYK9,0.333
P0C7N1,Q8TD33,0.333
P0C7N5,Q8NDB6,0.333
P0C7P2,Q9BQI6,0.333
P0C7Q5,P15144,0.333
P0C7Q6,Q13255,0.333
P0C7T2,P41227,0.333
P0C7T3,P52907,0.333
P0C7T5,Q13002,0.333
P0C7T7,P0CW24,0.333
P0C7U1,Q8WZA6,0.333
P0C7W0,P60468,0.333
P0C7W0,Q8IWE2,0.333
P0C7W6,Q9ULE3,0.333
P0C7X0,Q8IUW3,0.333
P0C7X3,Q16609,0.333
P0C864,P30989,0.333
P0C870,Q68G74,0.333
P0C874,P30408,0.333
P0C875,Q6UWD8,0.333
P0C880,Q96NW7,0.333
P0C881,Q96M69,0.333
P0CAP2,Q8IYG6,0.333
P0CB47,Q16739,0.333
P0CB47,Q96A26,0.333
P0CB47,Q9UNF1,0.333
P0CF51,Q5JVF3,0.333
P0CF51,Q8IV31,0.333
P0CF75,P51686,0.333
P0CF97,Q14781,0.333
P0CG04,Q6NUS6,0.333
P0CG04,Q8NHR7,0.333
P0CG23,Q9NPJ1,0.333
P0CG29,Q13671,0.333
P0CG36,P0DMS8,0.333
P0CG37,P59646,0.333
P0CG37,Q86SQ3,0.333
P0CG38,Q8N8F7,0.333
P0CG38,Q93033,0.333
P0CG39,P52736,0.333
P0CG42,Q9NZN9,0.333
P0CG43,Q9UBX5,0.333
P0CI00,Q7Z2Z1,0.333
P0CI25,Q6KF10,0.333
P0CJ68,Q9UK00,0.333
P0CJ74,Q9P086,0.333
P0CJ77,Q8WZ71,0.333
P0CJ79,Q9NYJ8,0.333
P0CJ85,Q9Y2Y0,0.333
P0CJ87,Q96JC1,0.333
P0CJ92,P43627,0.333
P0CL83,Q14114,0.333
P0CL84,Q9P2B7,0.333
P0CL85,Q9NR31,0.333
P0CW01,Q6WCQ1,0.333
P0CW19,Q8IWL1,0.333
P0CW21,P0DMP2,0.333
P0CW23,Q9NPJ4,0.333
P0CZ25,Q9UBD9,0.333
P0DJ93,Q12912,0.333
P0DJD4,P62745,0.333
P0DJG4,Q9Y3U8,0.333
P0DJH9,P28222,0.333
P0DJI9,P20036,0.333
P0DJJ0,Q13164,0.333
P0DKB5,P28799,0.333
P0DKL9,Q8WVK7,0.333
P0DMB1,P18564,0.333
P0DMB2,Q0VFX4,0.333
P0DME0,Q02447,0.333
P0DME0,Q9H079,0.333
P0DMM9,Q6PL45,0.333
P0DMR2,P15954,0.333
P0DMS8,Q9HBV1,0.333
P0DMT0,Q8IXQ5,0.333
P0DMU3,Q9BYD1,0.333
P0DMU8,Q96IV0,0.333
P0DMU9,Q9NVC3,0.333
P0DMU9,Q9NZP5,0.333
P0DMV0,P48167,0.333
P0DMV0,Q9UHD4,0.333
P0DMV2,Q8TBG9,0.333
P0DMV9,Q92558,0.333
P0DMW3,P55789,0.333
P0DN25,Q96IW2,0.333
P0DN26,Q01094,0.333
P0DN77,P98082,0.333
P0DN77,Q8NHP1,0.333
P0DN82,Q7Z5N4,0.333
P0DOY2,Q8WXH5,0.333
P0DP02,Q6UXI9,0.333
P0DP02,Q92843,0.333
P0DP08,Q6UUV7,0.333
P0DP08,Q8IVL8,0.333
P0DP58,Q8N726,0.333
P0DP58,Q9UHY8,0.333
P0DP73,Q6P9F7,0.333
P0DP74,Q15170,0.333
P0DPA2,Q86SM8,0.333
P0DPB3,Q4G0N0,0.333
P0DPB6,Q8NHJ6,0.333
P0DPD5,Q9NPA8,0.333
P0DPD6,Q9BQ16,0.333
P0DPD6,Q9H2B2,0.333
P0DPD7,P46087,0.333
P0DPD7,Q96SZ6,0.333
P0DPD8,Q6PJF5,0.333
P0DPE3,Q86SG7,0.333
P0DPF4,Q8TE77,0.333
P0DPF5,Q9P0L0,0.333
P0DPF7,Q9BQW3,0.333
